Date,Thai 25%_spread_usd,Thai 25%_spread_pct,Thai 25%_spread_ma12,Thai A.1_spread_usd,Thai A.1_spread_pct,Thai A.1_spread_ma12,Vietnamese 5%_spread_usd,Vietnamese 5%_spread_pct,Vietnamese 5%_spread_ma12,Thai 5%_price,Thai 5%_price_ma12,Thai 25%_price,Thai 25%_price_ma12,Thai A.1_price,Thai A.1_price_ma12,Vietnamese 5%_price,Vietnamese 5%_price_ma12
2016-07-01,18.0,4.072398190045249,11.583333333333334,24.110000000000014,5.454751131221722,7.3075000000000045,80.43,18.19683257918552,31.7375,442.0,390.1666666666667,424.0,378.5833333333333,417.89,382.8591666666666,361.57,358.42916666666673
2016-08-01,12.0,2.891566265060241,11.666666666666666,21.220000000000027,5.113253012048199,9.45083333333334,67.54000000000002,16.27469879518073,34.62666666666667,415.0,393.6666666666667,403.0,382.0,393.78,384.21583333333336,347.46,359.03999999999996
2016-09-01,6.0,1.5625,11.333333333333334,18.730000000000018,4.877604166666671,11.261666666666676,41.26999999999998,10.747395833333329,35.51833333333334,384.0,395.9166666666667,378.0,384.5833333333333,365.27,384.655,342.73,360.3983333333333
2016-10-01,4.0,1.084010840108401,10.75,19.100000000000023,5.176151761517621,12.54250000000001,32.610000000000014,8.837398373983744,35.685833333333335,369.0,395.5833333333333,365.0,384.8333333333333,349.9,383.0408333333333,336.39,359.89750000000004
2016-11-01,8.0,2.191780821917808,10.666666666666666,25.410000000000025,6.961643835616445,14.513333333333344,27.0,7.397260273972603,36.73666666666667,365.0,395.3333333333333,357.0,384.6666666666667,339.59,380.82,338.0,358.59666666666664
2016-12-01,9.0,2.4128686327077746,10.833333333333334,18.579999999999984,4.981233243967824,15.831666666666678,32.0,8.579088471849866,40.07,373.0,396.1666666666667,364.0,385.3333333333333,354.42,380.335,341.0,356.09666666666664
2017-01-01,8.0,2.122015915119363,10.833333333333334,21.089999999999975,5.594164456233415,17.355000000000008,40.44999999999999,10.729442970822278,43.1,377.0,396.8333333333333,369.0,386.0,355.91,379.4783333333333,336.55,353.73333333333335
2017-02-01,6.0,1.6348773841961852,10.5,18.25,4.9727520435967305,18.324166666666674,31.660000000000025,8.626702997275212,43.74916666666667,367.0,395.4166666666667,361.0,384.9166666666667,348.75,377.0925,335.34,351.6675
2017-03-01,6.0,1.6216216216216217,10.25,11.569999999999993,3.1270270270270255,18.530000000000005,26.439999999999998,7.145945945945946,43.96916666666667,370.0,394.25,364.0,384.0,358.43,375.72,343.56,350.2808333333333
2017-04-01,11.0,2.8947368421052633,10.416666666666666,21.470000000000027,5.6500000000000075,19.36333333333334,35.35000000000002,9.302631578947375,44.915,380.0,393.0,369.0,382.5833333333333,358.53,373.6366666666666,344.65,348.08500000000004
2017-05-01,22.0,5.225653206650831,10.75,26.05000000000001,6.18764845605701,19.982500000000005,76.0,18.052256532066508,46.60750000000001,421.0,392.0,399.0,381.25,394.95,372.0175,345.0,345.3925
2017-06-01,28.0,6.11353711790393,11.5,17.139999999999986,3.742358078602617,20.226666666666674,100.82,22.01310043668122,49.29750000000001,458.0,393.4166666666667,430.0,381.9166666666667,440.86,373.19,357.18,344.1191666666666
2017-07-01,18.0,4.316546762589928,11.5,19.569999999999993,4.693045563549159,19.84833333333334,31.129999999999995,7.465227817745802,45.189166666666665,417.0,391.3333333333333,399.0,379.8333333333333,397.43,371.48499999999996,385.87,346.14416666666665
2017-08-01,12.0,3.0534351145038165,11.5,16.860000000000014,4.290076335877866,19.485000000000003,2.6299999999999955,0.6692111959287521,39.78,393.0,389.5,381.0,378.0,376.14,370.01500000000004,390.37,349.72
2017-09-01,14.0,3.482587064676617,12.166666666666666,17.189999999999998,4.276119402985074,19.35666666666667,20.0,4.975124378109453,38.0075,402.0,391.0,388.0,378.8333333333333,384.81,371.6433333333334,382.0,352.9925
2017-10-01,15.0,3.807106598984772,13.083333333333334,18.319999999999993,4.649746192893399,19.291666666666668,17.810000000000002,4.520304568527919,36.774166666666666,394.0,393.0833333333333,379.0,380.0,375.68,373.7916666666667,376.19,356.30916666666667
2017-11-01,16.0,3.9800995024875623,13.75,23.180000000000007,5.766169154228858,19.105833333333333,22.99000000000001,5.718905472636818,36.440000000000005,402.0,396.1666666666667,386.0,382.4166666666667,378.82,377.0608333333334,379.01,359.7266666666667
2017-12-01,15.0,3.6945812807881775,14.25,17.5,4.310344827586207,19.015833333333333,22.75999999999999,5.605911330049259,35.67,406.0,398.9166666666667,391.0,384.6666666666667,388.5,379.90083333333337,383.24,363.24666666666667
2018-01-01,20.0,4.524886877828054,15.25,31.170000000000016,7.052036199095026,19.855833333333337,61.06,13.81447963800905,37.3875,442.0,404.3333333333333,422.0,389.0833333333333,410.83,384.4775,380.94,366.9458333333334
2018-02-01,14.0,3.294117647058824,15.916666666666666,17.19999999999999,4.047058823529409,19.768333333333334,29.569999999999993,6.957647058823528,37.21333333333333,425.0,409.1666666666667,411.0,393.25,407.8,389.39833333333337,395.43,371.9533333333333
2018-03-01,12.0,2.7906976744186047,16.416666666666668,26.5,6.162790697674419,21.012500000000003,20.079999999999984,4.669767441860461,36.68333333333333,430.0,414.1666666666667,418.0,397.75,403.5,393.1541666666667,409.92,377.48333333333335
2018-04-01,15.0,3.325942350332594,16.75,20.75999999999999,4.603104212860308,20.953333333333333,37.56999999999999,8.330376940133036,36.86833333333333,451.0,420.0833333333333,436.0,403.3333333333333,430.24,399.13000000000005,413.43,383.215
